CLUSTER_ID,N_TRAJECTORIES,N_USERS,AVG_POINTS,AVG_CELLS,START_CELL,END_CELL
758,1,1,268.0,10.0,15527:501,15532:499
824,1,1,48.0,10.0,15538:492,15555:451
883,1,1,338.0,10.0,15551:486,15552:488
910,1,1,183.0,10.0,15550:491,15546:488
989,1,1,371.0,10.0,15543:493,15534:480
1203,1,1,673.0,10.0,15550:476,15535:505
2,1,1,378.0,9.0,15532:468,15536:483
205,1,1,271.0,9.0,15543:498,15540:481
206,1,1,667.0,9.0,15540:480,15536:499
317,1,1,545.0,9.0,15535:486,15529:484
323,1,1,400.0,9.0,15534:481,15534:481
360,1,1,374.0,9.0,15533:494,15527:494
396,1,1,653.0,9.0,15527:496,15547:476
411,1,1,538.0,9.0,15536:491,15537:491
527,1,1,313.0,9.0,15525:480,15532:503
648,1,1,422.0,9.0,15547:483,15546:480
715,1,1,355.0,9.0,15530:467,15530:466
818,1,1,279.0,9.0,15531:488,15541:494
849,1,1,285.0,9.0,15535:495,15540:498
953,1,1,75.0,9.0,15533:481,15532:481
971,1,1,180.0,9.0,15540:490,15522:509
1037,1,1,475.0,9.0,15535:479,15550:496
1067,1,1,376.0,9.0,15542:490,15558:487
1095,1,1,460.0,9.0,15534:486,15534:483
1119,1,1,1160.0,9.0,15530:503,15531:490
1147,1,1,331.0,9.0,15525:517,15527:516
1202,1,1,688.0,9.0,15551:477,15550:476
42,1,1,594.0,8.0,15516:444,15517:444
123,1,1,611.0,8.0,15549:484,15552:482
145,1,1,580.0,8.0,15539:492,15530:493
163,1,1,410.0,8.0,15536:504,15536:504
165,1,1,783.0,8.0,15538:500,15535:504
191,1,1,505.0,8.0,15532:469,15534:471
197,1,1,749.0,8.0,15537:502,15539:501
229,1,1,762.0,8.0,15540:488,15551:489
260,1,1,410.0,8.0,15532:487,15531:486
261,1,1,413.0,8.0,15534:504,15535:505
380,1,1,246.0,8.0,15526:516,15523:514
398,1,1,432.0,8.0,15552:476,15547:477
400,1,1,500.0,8.0,15530:498,15547:476
402,1,1,325.0,8.0,15545:486,15547:477
515,1,1,486.0,8.0,15540:487,15544:490
529,1,1,311.0,8.0,15532:502,15543:478
535,1,1,669.0,8.0,15548:490,15551:490
549,1,1,217.0,8.0,15554:474,15547:491
586,1,1,291.0,8.0,15551:488,15561:491
589,1,1,1177.0,8.0,15545:478,15540:492
591,1,1,616.0,8.0,15541:488,15545:478
607,1,1,962.0,8.0,15546:520,15546:520
614,1,1,281.0,8.0,15543:483,15544:484
646,1,1,720.0,8.0,15547:483,15547:483
672,1,1,99.0,8.0,15535:481,15535:482
709,1,1,277.0,8.0,15537:489,15538:484
714,1,1,35.0,8.0,15532:469,15533:469
768,1,1,318.0,8.0,15546:474,15544:478
774,1,1,681.0,8.0,15544:489,15544:484
807,1,1,344.0,8.0,15535:490,15525:493
834,1,1,205.0,8.0,15539:487,15533:489
836,1,1,614.0,8.0,15535:491,15533:475
842,1,1,398.0,8.0,15534:489,15534:489
867,1,1,344.0,8.0,15539:483,15532:484
902,1,1,259.0,8.0,15548:494,15541:497
903,1,1,385.0,8.0,15533:485,15532:484
904,1,1,545.0,8.0,15549:485,15546:481
925,1,1,246.0,8.0,15545:500,15541:499
977,1,1,239.0,8.0,15523:488,15521:492
1022,1,1,210.0,8.0,15549:503,15531:484
1050,1,1,231.0,8.0,15533:486,15544:479
1101,1,1,174.0,8.0,15532:527,15533:521
1112,1,1,239.0,8.0,15532:466,15530:470
1153,1,1,115.0,8.0,15541:476,15552:476
1167,1,1,622.0,8.0,15536:503,15534:503
1187,1,1,524.0,8.0,15545:482,15545:482
1218,1,1,375.0,8.0,15532:499,15545:486
9,1,1,30.0,7.0,15532:468,15532:468
87,1,1,204.0,7.0,15548:496,15543:496
139,1,1,587.0,7.0,15545:493,15549:493
169,1,1,345.0,7.0,15521:511,15547:484
243,1,1,733.0,7.0,15541:494,15541:494
244,1,1,256.0,7.0,15540:494,15546:492
245,1,1,580.0,7.0,15546:492,15540:494
264,1,1,248.0,7.0,15531:496,15536:496
286,1,1,331.0,7.0,15544:487,15544:487
320,1,1,725.0,7.0,15540:486,15534:481
322,1,1,25.0,7.0,15535:481,15535:482
327,1,1,1156.0,7.0,15536:471,15548:491
368,1,1,102.0,7.0,15548:494,15547:495
392,1,1,119.0,7.0,15538:486,15537:489
408,1,1,445.0,7.0,15536:480,15536:479
513,1,1,43.0,7.0,15548:488,15548:492
523,1,1,597.0,7.0,15523:474,15521:472
530,1,1,337.0,7.0,15544:490,15532:503
553,1,1,221.0,7.0,15545:486,15554:474
558,1,1,365.0,7.0,15530:503,15532:500
562,1,1,54.0,7.0,15543:491,15543:491
564,1,1,667.0,7.0,15538:487,15551:488
570,1,1,276.0,7.0,15540:486,15537:484
576,1,1,404.0,7.0,15539:492,15530:487
587,1,1,185.0,7.0,15552:487,15548:485
606,1,1,212.0,7.0,15526:471,15526:471
623,1,1,437.0,7.0,15547:490,15546:488
624,1,1,418.0,7.0,15546:488,15547:490
658,1,1,391.0,7.0,15523:506,15525:505
686,1,1,411.0,7.0,15548:499,15545:492
691,1,1,140.0,7.0,15537:484,15534:484
700,1,1,184.0,7.0,15538:500,15543:497
721,1,1,222.0,7.0,15530:466,15534:470
729,1,1,278.0,7.0,15545:484,15546:491
816,1,1,226.0,7.0,15540:492,15537:464
847,1,1,159.0,7.0,15538:488,15536:497
873,1,1,220.0,7.0,15537:474,15535:501
879,1,1,255.0,7.0,15535:501,15536:475
897,1,1,186.0,7.0,15554:494,15548:494
907,1,1,359.0,7.0,15549:491,15549:491
935,1,1,129.0,7.0,15527:506,15528:506
942,1,1,292.0,7.0,15535:486,15535:487
947,1,1,131.0,7.0,15536:487,15540:491
1031,1,1,112.0,7.0,15550:496,15531:487
1111,1,1,427.0,7.0,15544:526,15544:527
1141,1,1,207.0,7.0,15546:438,15542:438
1148,1,1,128.0,7.0,15541:476,15541:476
1161,1,1,385.0,7.0,15557:486,15543:490
1170,1,1,996.0,7.0,15579:469,15579:469
1186,1,1,85.0,7.0,15545:482,15544:482
1214,1,1,354.0,7.0,15542:487,15551:482
1220,1,1,281.0,7.0,15533:498,15543:490
1224,1,1,308.0,7.0,15547:497,15526:485
1225,1,1,473.0,7.0,15534:500,15542:497
1227,1,1,511.0,7.0,15531:499,15533:499
1230,1,1,167.0,7.0,15537:489,15533:476
1236,1,1,383.0,7.0,15537:489,15534:472
6,1,1,281.0,6.0,15531:468,15532:468
7,1,1,241.0,6.0,15537:490,15533:482
33,1,1,249.0,6.0,15549:480,15532:502
48,1,1,231.0,6.0,15532:498,15542:480
50,1,1,509.0,6.0,15549:469,15548:472
60,1,1,930.0,6.0,15544:493,15541:479
120,1,1,301.0,6.0,15553:482,15544:485
121,1,1,243.0,6.0,15544:490,15553:482
131,1,1,287.0,6.0,15544:487,15559:492
140,1,1,165.0,6.0,15535:491,15548:493
150,1,1,132.0,6.0,15541:515,15540:511
171,1,1,957.0,6.0,15547:484,15547:484
190,1,1,377.0,6.0,15533:471,15532:469
192,1,1,314.0,6.0,15534:471,15534:471
208,1,1,257.0,6.0,15539:493,15537:489
218,1,1,82.0,6.0,15545:489,15544:488
219,1,1,139.0,6.0,15547:495,15539:491
224,1,1,413.0,6.0,15540:488,15551:490
225,1,1,348.0,6.0,15552:490,15547:497
226,1,1,83.0,6.0,15551:488,15543:491
227,1,1,388.0,6.0,15543:491,15543:491
230,1,1,295.0,6.0,15559:490,15551:489
